item,category,description,price,cost
shio ramen,entree,"sea salt seasoned clear double stock (organic chicken broth + house dashi); slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, scallions",11,5
spicy miso ramen,entree,"house togarashi miso blend + niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, scallions",12,5
vegetarian spicy miso,entree,"house togarashi miso blend + vegan dashi; tempura fried tofu, sweet corn, edamame, kikurage, nori, scallions; organic soy milk upon request",12,5
miso crab ramen,entree,"house miso crab blend + vegan dashi; slow braised niman ranch pork belly, crab meat, hanjuku tamago, kikurage, nori, scallions",12,6
soft-shell miso crab ramen,entree,"house miso crab blend + vegan dashi; fried whole soft-shell crab, hanjuku tamago, kikurage, nori, scallions",14,7
tori paitan ramen,entree,"rich, shoyu seasoned double stock (organic chicken broth + house dashi); slow braised niman ranch pork belly, hanuku tamago, kikurage, nori, scllaions",13,6
tonkotsu ramen,entree,"rich, shoyi seasoned niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, spring radish, scallions",13,6
burnt garlic tonkotsu ramen,entree,"rich, shoyi and burnt garlic seasoned niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, sweet corn, nori, scallions",14,6
vegetarian curry + king trumpet mushroom ramen,entree,"house curry blend + vegan dashi; fried king trumpet mushroom, tempura fried tofu, mung bean sprouts, kikurage, nori, scallions",13,7
truffle butter ramen,entree,"rich, shoyu seasoned niman ranch prok bone stock; truffle compound butter, slow braised niman ranch pork belly, kikurage, sweet corn, nori, scallions",14,7
green tea,drinks,green tea,2.5,1
coke,drinks,Coca Cola soda,2,1
black sesame ice cream,desserts,"house-made black sesame ice cream, valrhona chocolate threads, complimentary hojicha",5,2
matcha ice cream,desserts,"house-made matcha ice cream, white chocolate pearls; complimentary hojicha",5,2
mango mochi ice cream,desserts,two rice-cake bonbons filled with strawberry ice cream; complimentary hojicha,5,2
strawberry mochi ice cream,desserts,two rice-cake bonbons filled with strawberry ice cream; complimentary hojicha,5,2
black sesame creme brulee,desserts,house made black sesame infused creme brulee; complimentary hojicha,6,3
